ZoneName,areaBuilt,bathrooms,businessType,cityID,companyId,companyName,garages,latitude,longitude,propType,propID,propertyState,rentPrice,rentTotalPrice,rooms,salePrice,sectorName,stratum,zoneID,floor,numPictures,propAddress,timeMarket
Suroriente,156,3,venta,3,2669,PROINTEGRAL SA,2,6.198304,-75.571465,Casa,687-M2447722,Usado,0,0,3,680000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,156,5,venta,3,5319,GRUGES INMOBILIARIO,2,6.2079306,-75.55346,Casa,11318-M2795453,Usado,0,0,4,850000000,Suroriente,5,38,-1,-1,-1,1
Suroriente,160,2,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.213353,-75.57237,Casa,2895-M2165458,Usado,0,0,4,370000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,160,3,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.213682,-75.56991,Casa,2895-M2165479,Usado,0,0,4,360000000,Suroriente,5,38,-1,-1,-1,1
Suroriente,160,3,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.214164,-75.571915,Casa,2895-1244938,Usado,0,0,3,280000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,160,4,venta,3,-1,-1,2,6.1849303,-75.56376,Casa,MC2692843,Usado,-1,0,3,730000000,Suroriente,6,38,-1,-1,-1,1
Suroriente,160,4,venta,3,5544,Rentaraiz sas ,2,6.165853,-75.59532,Casa,12133-702,Usado,-1,0,4,730000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,164,2,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.213682,-75.5723,Casa,2895-M2165450,Usado,0,0,3,385000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,167,3,venta,3,2669,PROINTEGRAL SA,2,6.207734,-75.55527,Casa,687-M1515744,Usado,0,0,3,530000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,167,4,Venta y Arriendo,3,2669,PROINTEGRAL SA,3,6.199312,-75.57498,Casa,687-M2606290,Usado,3400000,3400000,4,730000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,169,0,venta,3,3106,SANTA MARIA Y ASOCIADOS,2,6.198603,-75.5544,Casa,2364-10008,Usado,-1,0,3,1200000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,170,3,venta,3,3003,MONOPOLIO INMOBILIARIO,2,6.21447,-75.5715,Casa,2895-M2263900,Usado,0,0,4,490000000,Suroriente,6,38,-1,-1,-1,1
Suroriente,170,5,venta,3,2669,PROINTEGRAL SA,2,6.184411,-75.56083,Casa,687-M2548674,Usado,0,0,3,580000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,171,4,venta,3,2669,PROINTEGRAL SA,2,6.195928,-75.5635,Casa,687-M2729957,Usado,0,0,3,900000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,171,4,venta,3,2669,PROINTEGRAL SA,2,6.2164497,-75.56814,Casa,687-M2126727,Usado,0,0,4,575000000,Suroriente,6,38,-1,-1,-1,2
