;url;city;rooms;restrooms;stratum;agent;property_code_Metro2;neighborhood_common;neighborhood_official;price;parking_places;age;area_built;area_private;admin_price;description
47;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-simon-bolivar-3-habitaciones-3-banos-2-garajes/11831-2919661;Medellín;3;3;5.0;ROMA PROPIEDADES SAS;11831-2919661;SIMON BOLIVAR;SIMON BOLIVAR;540000000;2;Entre 10 y 20 años;172.0;172.0;;Hermosa y amplia casa ubicada en Simon Bolivar en Medellín. Cuenta con 3 alcobas + la alcoba del servicio, sala comedor independientes,  2 patios y garaje doble.
48;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-colores-4-habitaciones-4-banos-1-garajes/3267-11069;Medellín;4;4;5.0;INMOBILIARIA MATTIS;3267-11069;Los colores;LOS COLORES;950000000;1;Entre 10 y 20 años;250.0;210.0;;Mattis Inmobiliaria te invita a conocer elegancia absoluta con amplio espacio y comodidad interior con cuatro habitaciones, cuatro baños, vestier, cocina integral, sala, sala comedor, salón de estudio, sala auxiliar, dos patios, un patio jardín y parq...
49;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-floresta-5-habitaciones-5-banos-4-garajes/839-M2717604;Medellín;5;5;5.0;MINMUEBLE360;839-M2717604;LA FLORESTA;LA FLORESTA;2800000000;4;Más de 20 años;700.0;653.0;100000.0;VENDO CASA EN LA FLORESTA, 653M2, SOBRE AVENIDA PRINCIPAL, CERCA A LA ESTACION FLORESTA, TREN LIVIANO AVENIDA 80, CERCA AL ESTADIO, COLEGIOS, IGLESIAS, BANCOS Y COMERCIO ENTRE OTROS. POT PARA LOCALES COMERCIALES, APARTAESTUDIOS, CONSULTORIOS, CLINICA....
50;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-poblado-4-habitaciones-5-banos-3-garajes/687-1446773;Medellín;4;5;6.0;PROINTEGRAL SA;687-1446773;EL POBLADO;EL POBLADO;4530000000;3;Entre 0 y 5 años;800.0;2300.0;900000.0;Casa para venta en unidad cerrada. Cuenta con tres niveles, piso en madera laminada, 4 alcobas mas la del servicio, baño y vestier en la principal, closet de linos. Hall de acceso, comedor independiente y auxiliar, chimenea, estudio, estar de tv, balc...
51;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-cuarta-brigada-3-habitaciones-2-banos-2-garajes/12154-1830456;Medellín;3;2;4.0;Laurel Group Inmobiliaria;12154-1830456;CUARTA BRIGADA;CUARTA BRIGADA;730000000;2;Más de 20 años;0.0;180.0;;Casa para la venta en el  Estadio cercana a la cuarta Brigada y la Calle Colombia, primer piso, amplia y remodelada. Área  180 m2,  20 mts  de fondo y 9 mts  de frente, cuenta con 3 alcobas, 2 baños, 2 patios, cocina integral, comedor independiente, a...
52;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-san-lucas-3-habitaciones-4-banos-1-garajes/687-I1892069;Medellín;3;4;6.0;PROINTEGRAL SA;687-I1892069;EL POBLADO;SAN LUCAS;1550000000;1;Entre 10 y 20 años;340.0;340.0;540000.0;Casa en unidad cerrada en el sector de los Balsos cerca a servicios complementarios del CC El Tesoro, de facil acceso desde la Superior, calle tranquila de poco flujo vehicular y transito de solo residentes. Piso en marmol y madera laminada, puerta de...
53;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-doce-de-octubre-no.2-3-habitaciones-1-banos/MC2788175;Medellín;3;1;2.0;Ninguno;MC2788175;DOCE DE OCTUBRE - Noroccidente;DOCE DE OCTUBRE No.2;150000000;0;Remodelado;72.0;72.0;;Casa con 3 habitaciones amplias todas con su closets baño enchapado cocina integral sala comedor y patio amplio tiene zona común donde se puede parquear moto muy iluminada y ubicada en buen sector
54;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-cerros-el-vergel-3-habitaciones-2-banos-2-garajes/2264-AC-23911;Medellín;3;2;2.0;ACRECER SAS;2264-AC-23911;SANTA ELENA;LOS CERROS - EL VERGEL;350000000;2;Entre 10 y 20 años;127.0;127.0;;CASA en venta en SANTA ELENA Excelente casa de 3 alcobas en 2 niveles estar balcon 2 banos y cocina integral con lote jardin zona de parqueo cubierto para 2 carros en una muy buena ubicacion sector muy tranquilo y cerca a todo a 10 minutos del centro ...
55;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-san-lucas-3-habitaciones-4-banos-3-garajes/687-M1922172;Medellín;3;4;5.0;PROINTEGRAL SA;687-M1922172;San Lucas;SAN LUCAS;1000000000;3;Entre 5 y 10 años;300.0;300.0;580000.0;Casa de dos niveles en unidad cerrada sector san lucas. Piso en porcelanato, puerta de seguridad, hall de acceso, sala y comedor independientes, estudio, estar de tv, 3 alcobas con baño en cada una, cocina integral tipo americano, balcon, patio con ja...
56;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-poblado-5-habitaciones-5-banos-3-garajes/687-1451117;Medellín;5;5;6.0;PROINTEGRAL SA;687-1451117;Poblado;EL POBLADO;1600000000;3;Entre 5 y 10 años;430.0;430.0;500000.0;Casa para venta en unidad cerrada. Cuenta con piso en marmol y porcelanato italiano, hall de alcobas, 6 alcobas mas la del servicio, baño en cada alcoba, vestier en la principal. Comedor independiente, cocina integral mixta tipo americano, balcon, pat...
