adminPrice,amenitiesCommonZones,amenitiesExteriors,amenitiesInteriors,ammenitiesSector,areaBuilt,bathrooms,builtTime,businessType,cityID,cityName,comment,commonNeighborhood,companyId,companyName,firstCapture,floor,garages,lastCapture,latitude,longitude,neighborhood,numPictures,propAddress,propID,propType,propertyState,rentPrice,rentTotalPrice,rooms,salePrice,sectorName,stratum,timeMarket,zoneID,zoneName
0,,,"Balcon, Bano Auxiliar, Deposito / Bodega, Instalacion de gas, Patio, Piso en Baldosa /  Marmol, Zona de lavanderia","Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Residencial",126.0,2,Mas de 30 anos,VENTA,5500006,MEDELLIN,"codigo arrendamientos santa fe: v9620.  propiedad ubicada en la milagrosa,  con facil acceso al transporte publico y a las principales vias de la ciudad,  esta cerca al parque principal y al colegio eucaristico de la milagrosa..",,1851525,ARRENDAMIENTOS SANTA FE,18-03-2021,1,,18-03-2021,6.23647022247314,-75.5546035766602,LA MILAGROSA,16,CALLE 43 NO. 29-25,5899001,CASA,USED,,,4,350000000,,3,1,5500103,NORORIENTE
382000,,"Acceso Pavimentado, En conjunto cerrado, Garaje Cubierto, Porteria / Vigilancia, Vigilancia privada 24*7, Vivienda Multifamiliar, Zonas Verdes","Balcon, Bano Auxiliar, Calentador, Closet, Cocina Integral, Cuarto de Servicio, Hall de Alcobas, Instalacion de gas, Piso en Baldosa /  Marmol","Bombas de gasolina, Colegios / Universidades, Comodas vias de acceso, Parques cercanos, Sobre via secundaria, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Residencial",142.0,3,9 a 15 anos,VENTA,5500006,MEDELLIN,"casa de tres niveles en venta en el sector de belen la mota,  cuenta con un area de 142 m2; primer piso: sala - comedor,  cocina integral,  zona de ropas,  patio,  habitacion; segundo piso: 2 habitaciones,  bano en hall de alcobas,  balcon pequeno; tercer piso: 2 habitaciones (principal con bano),  pisos en baldosa,  red de gas,  parqueadero doble lineal; unidad sencilla con porteria y vigilancia 24 horas,  sendero peatonal,  cerca al mall la gran via,  avenida 80,  estacion de servicio esso,  excelentes rutas de transporte. www.cityraiz.com codigo 8666.",,163052,CITY RAIZ,18-03-2021,3,2,18-03-2021,6.21199989318848,-75.5970001220703,,17,DIAGONAL 75B #01-289 CASA 111 UNIDAD RESIDENCIAL VILLAS DE  KALAMARI 1 PRIMERA ETAPA - BELEN LA MOTA,4487251,CASA,USED,,,5,410000000,,5,1,5500105,SUROCCIDENTE
349000,,"En conjunto cerrado, Garaje(s), Gimnasio, Jardin, Parqueadero Visitantes, Piscina, Salon Comunal, Terraza, Vigilancia, Vista panoramica, Zonas Verdes","Balcon, Citofono, Cocina Integral, Deposito / Bodega, Estudio, Instalacion de gas, Patio, Piso en Baldosa /  Marmol, Zona de lavanderia","Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Residencial",156.0,4,16 a 30 anos,VENTA,5500006,MEDELLIN,"tca ofrece casa en venta en loma de los bernal -  precio:$490.000.000 - area: 156 mts - admon: $349.000 - 4 habitaciones - 4 banos - 1 parqueadero - 1 deposito - casa de 3 pisos - sala - comedor - cocina integral -  cuarto principal con bano ,  jacuzzy ,  2 balcones - terraza - excelente ubicacion - conjunto cerrado - piscina - salon comunal - parque de ninos - zonas verdes - excelentes vias de acceso..",,490150,TOBON CASTRO ASOCIADOS SAS,18-03-2021,,1,18-03-2021,6.21948671340942,-75.6037902832031,LOMA DE LOS BERNAL,28,CALLE 15  80-105,5555286,CASA,USED,,,4,490000000,,5,1,5500105,SUROCCIDENTE
0,,,"Bano de Servicio, Closet, Cocina Integral, Comedor, Instalacion de gas, Zona de lavanderia",,83.0,1,,VENTA,5500006,MEDELLIN,"se vende casa unifamiliar  en robledo,  sector miramar ,  cuenta con,  3 alcobas,  1 banos,  1 closet,  sala,  comedor,  cocina integra,  red de gas,  zona de ropas,  2 balcon,  2 zonas de ropa.",,141765,CONSTRUBIENES,18-03-2021,,,18-03-2021,0,0,,13,CL 92 78 A 06,5915666,CASA,USED,,,3,165000000,,3,1,0,
1,,Garaje(s),"Bano Auxiliar, Cocina Integral, Cocina tipo Americano, Patio","Colegios / Universidades, Parques cercanos, Sobre via principal, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Residencial",240.0,3,Mas de 30 anos,VENTA,5500006,MEDELLIN,"venta de casa en sector prado centro, 240mts2, es un solo piso (puede construir), tiene 4 habitaciones y 2 mas que pertenecen a un apartamento que se dividio de la misma casa. la casa tiene pisos en ceramica, cocina integral, 1 patio, 1 solar, 1 garaje, 3 banos (con el del apartamento) esta ubicada cerca a comercios, colegios y universidades, farmacias, muy central. el apartamento se puede alquilar tiene todos los servicios publicos independientes. valor de la casa negociable.",,2765565,JHOAN DAVID MUNOZ VILLEGAS,18-03-2021,1,1,18-03-2021,6.25752210617065,-75.5594711303711,PRADO ,20,CARRERA 46  62 50,5922331,CASA,USED,,,6,450000000,,3,1,5500101,CENTRO
0,,,"Cocina Integral, Instalacion de gas, Patio, Zona de lavanderia","Colegios / Universidades, Supermercados / C.Comerciales, Trans. Publico cercano",140.0,3,,VENTA,5500006,MEDELLIN,codigo arrendamientos santa fe v7271 ubicada en belen la gloria con facil acceso a las principales vias de la ciudad como la avenida 80 y a la clinica salucoop.  cuenta con instituciones educativas cercanas y supermercados como el consumo de la 80..,,1851525,ARRENDAMIENTOS SANTA FE,18-03-2021,1,1,18-03-2021,6.22586011886597,-75.5997924804688,BELEN,20,CARRERA 79A NO. 20A-30,5959999,CASA,USED,,,4,400000000,,3,1,5500105,SUROCCIDENTE
650000,,"Acceso Pavimentado, En conjunto cerrado, Garaje / Parqueadero(s), Parqueadero Visitantes, Terraza, Vigilancia privada 24*7, Zonas Verdes","Balcon, Calentador, Closet, Cocina tipo Americano, Comedor, Cuarto de Servicio, Estudio, Hall de Alcobas, Parqueadero interno, Puerta de seguridad, Puerta electrica, Sauna / Turco / Jacuzzi","Bombas de gasolina, Cerca a sector comercial, Colegios / Universidades, Comodas vias de acceso, Esquinero, Parques cercanos, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Residencial",500.0,7,1 a 8 anos,VENTA,5500006,MEDELLIN,"hermosa y exclusiva casa campestre en uno de los conjuntos residenciales mas apetecido de las palmas. puntos de referencia: a 5 minutos de los balsos,  a 8 minutos del cai de policias,  cerca a: mall comercial,  bancos,  supermercados,  2 vias de acceso,  colegio,  restaurantes,  universidad,  transporte publico. la unidad te dejara encantado con sus hermosos alrededores,  seguridad reforzada y,  en uno de los mejores y mas seguros puntos de las palmas. la casa tiene porton electrico en el ingreso,  acabados de lujo,  espejo de agua en la entrada principal,  muros en vidrio templado lo que te permite apreciar la majestuosa vista que tiene de la ciudad. tiene 4 habitaciones mas servicio,  cada una de ellas con bano,  vestier y balcon con vista 360 grados,  cocina tipo americana,  jardin zen en el interior,  deck al aire libre con jacuzzi acompanado de una estupenda vista,  jardin delantero con arboles frutales,  no tiene registro visual,  gran cualidad sus espacios abiertos y la iluminacion inteligente..",,530834,RENTARAIZ SOLUCIONES INMOBILIARIAS SAS,18-03-2021,,6,18-03-2021,6.20699977874756,-75.5429992675781,,24,UNIDAD RESIDENCIAL EL MONTE PTO REFERENCIA DETRAS DEL COLEGIO EL LATINO,5979534,CASA,USED,,,4,4000000000,,6,1,5500102,SURORIENTE
0,,,"Bano de Servicio, Closet, Cocina Integral, Comedor, Instalacion de gas, Patio, Zona de lavanderia",Zona Residencial,130.0,2,,VENTA,5500006,MEDELLIN,"amplia y comoda casa en venta segundo piso. en su interior proporciona sala y comedor independiente,  5 alcobas con closet cada una,  cocina integral,  zona de ropas,  2 banos,  balcon,  piso en ceramica,  red de gas,  estrato 3,  area de 130 metros cuadrados. en el sector encontraras el centro comercial los molinos,  universidad de medellin,  zonas de comida,  corredor principal de la av. 80,  iglesias,  estacion de metroplus los alpes y rutas de transporte. !que no se te haga tarde! llamanos y visita este inmueble. arrendamientos el castillo,  40 anos de experiencia en el sector inmobiliario para que vivas mejor..",,28945,ARRENDAMIENTOS EL CASTILLO S.A.S,18-03-2021,2,,18-03-2021,0,0,,20,CL 27 83 115 AP 201,4273299,CASA,USED,,,5,250000000,,3,1,0,
0,,,"Bano de Servicio, Calentador, Closet, Instalacion de gas, Patio, Zona de lavanderia","Parques cercanos, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Residencial",160.0,4,,VENTA,5500006,MEDELLIN,"la casa esta ubicada en el barrio san pablo guayabal,  tiene excelentes rutas de acceso,  en una zona tranquila y muy central de la ciudad de medellin. cuenta con facilidad de transporte,  cerca de la terminal del sur,  avenida guayabal,  carrera 65,  parque biblioteca guayabal,  aeropuerto olaya herrera.  tiene un area de 160 mts2 ubicado en un primer piso y consta de 4 habitaciones con closet (dos con bano),  4 banos,  sala comedor,  cocina mixta con red de gas y alacena,  2 patios,  zona de ropas,  calentador de agua a gas,  piso en baldosa comun,  cuarto util pequeno,  parqueadero.  para mas informacion www.inmobiliariazar.com email:  celular en colombia: telefono: 232 5986 inmobiliaria zar s.a.s.",,511957,INMOBILIARIA ZAR S.A.S,18-03-2021,1,,18-03-2021,0,0,,15,CL 18 59 60 TORRE,5973039,CASA,USED,,,4,400000000,,4,1,0,
0,,"Ascensor, Terraza","Balcon, Comedor auxiliar, Patio, Zona de lavanderia",,226.0,7,,VENTA,5500006,MEDELLIN,"codigo 1917 se vende casa en laureles cerca a la avenida nutibara de frente tiene 10.51 de fondo 5.07,  tiene terraza,  2 garajes..",,322109,INMOBILIARIA ANTIOQUIA,18-03-2021,1,1,18-03-2021,6.25128984451294,-75.5759735107422,,10,TRANSVERSAL 39 B · 79 - 58,5932956,CASA,USED,,,8,1200000000,,5,1,0,
