ZoneName,adminPrice,amenitiesCommonZones,amenitiesExteriors,amenitiesInteriors,ammenitiesSector,areaBuilt,bathrooms,builtTime,businessType,cityID,cityName,comment,commonNeighborhood,companyAddress,companyId,companyName,contactPhone,floor,garages,latitude,longitude,neighborhood,numPictures,propAddress,propID,propType,propertyState,publicationStatus,rentPrice,rentTotalPrice,rooms,salePrice,sectorName,stratum,zoneID
SurOriente,0,,"Piscina, Salon Comunal, Vigilancia 24x7, Zona Infantil","Balcon, Calentador, Closet, Cocina Integral, Comedor, Cuarto de Servicio, Deposito / Bodega, Estudio, Instalacion de gas, Patio, Zona de lavanderia",,234.0,5,9 a 15 anos,Venta,5500006,Medellin,"447-8848 Casa en unidad cerrada  ubicada en el Poblado,  cerca al mall de la visitacion parque comercial el tesoro,  cuenta con un area aproximada de 234 metros,  2 niveles,  3 alcobas cada una con balcon y bano ,  la principal con vestier ,  las auxiliares con closet,  closet de linos,  cuarto y banos del servicio,  sala,  comedor,  estudio,  cocina integral con red de gas,  zona de ropas,  patio con zona verde privada,  jacuzzi privado en el patio. parqueadero doble lineal con posibilidad de paquear vehiculo adicional. la unidad cuenta con porteria 24 horas,  piscina salon social,  codigo del inmueble 447-8609. Las imagenes que aqui aparecen son solo referencia del inmueble que se este promocionando por lo tato se vende desocupado. .",,,92629,Inmobiliaria Gomez y Asociados,,,2,4.70421028137207,-74.053840637207,,30,CALLE 1 B SUR   29 C- 81,4729932,Casa,Used,,,,3,1150000000,,6,5500102
NorOccidente,260000,,,,,122.0,3,,Venta,5500006,Medellin,"VENTA CASA EN BELLO CABANAS,  $470.000.000,  2 NIVELES,  CUENTA CON 3 ALCOBAS,  SALA,  COMEDOR,  HALL,  3 CLOSET,  COCINA INTEGRAL,  PATIO,  RED DE GAS,  CALENTADOR A GAS,  PARQUEADERO PRIVADO,  PISO EN PORCELANATO,  BALCON,  3 BANOS,  UNIDAD CERRADA, JUEGOS INFANTILES,  PORTERIA 24 HORAS,  ESTRATO 4,  AREA 122 METROS. LA UNIDAD CUENTA CON PISCINA,  SALON SOCIAL..",,,416189,Arrendamientos Alnago,,,1,6.27532005310059,-75.6045989990234,,13,CALLE 27B  58D-350,3752801,Casa,Used,,,,3,470000000,,4,5500104
SurOriente,0,,Vivienda Multifamiliar,"Balcon, Cocina Integral, Despensa, Hall de Alcobas, Instalacion de gas, Piso en Baldosa /  Marmol, Zona de lavanderia","Colegios / Universidades, Parques cercanos, Sobre via principal, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Comercial, Zona Residencial",120.0,2,1 a 8 anos,Venta,5500006,Medellin,"HERMOSA CASA PISO 3 UNIFAMILIAR,  REMODELADA CON SALA,  COMEDOR,  4 HABITACIONES,  3 CLOSETS,  COCINA INTEGRAL CON RED DE GAS,  ZONA DE ROPAS,  2 BANOS CON LAVAMANOS,  BARRA AMERICANA,  PISO EN PORCELANATO Y CERAMICA,  BALCON,   CERCA DEL CENTRO COMERCIAL SAN DIEGO Y LA AV LAS PALMAS..",Las Palmas,,317682,Arrendamientos Las Torres Ltda,,3,,6.24072980880737,-75.5640029907227,Las Palmas,23,CARRERA 40  42 - 17,4716572,Casa,Used,,,,4,280000000,,3,5500102
NorOriente,0,,,,,101.0,2,,Venta,5500006,Medellin,"VENTA CASA EN CAMPO VALDES $205.000.000,  1degPISO,  PROPIEDAD HORIZONTAL,  4 ALCOBAS,  SALON  COMEDOR,  1 CLOSET,  COCINA INTEGRAL,  RED DE GAS,  GARAJE DESCUBIERTO PARA 2 CARROS,  PISO EN CERAMICA, ,  VENTANAL Y BALCON,  2 BANOS,  ESTRATO 3,  AREA 101 METROS.",Campo Valdes,,416189,Arrendamientos Alnago,,,2,0,0,Campo Valdes,0,KRA 48  85-179,4686900,Casa,Used,,,,4,205000000,,3,5500103
NorOccidente,0,,"Gimnasio, Porteria / Vigilancia, Salon Comunal, Zona Infantil","Balcon, Calentador, Closet, Cocina Integral, Comedor auxiliar, Instalacion de gas, Parqueadero interno, Piso en Baldosa /  Marmol",,190.0,4,Mas de 30 anos,Venta,5500006,Medellin,"Se Vende Casa 190 mts,  unidad cerrada,  sala,  comedor,  Biblioteca,  4 alcobas,  4 banos (1 sencillo,  3 cabinados),  2 cuartos utiles,  piso en ceramica y porcelanato,  zona de ropas,  cocina integral,  red de gas instalada,  gimnasio,  juegos infantiles,  zonas verdes,  balcon,  parqueadero cubierto,  porteria 24 horas..",,,46781,Andina Inmobiliaria,,,1,6.24399995803833,-75.5810012817383,,14,Belén La Mota ,3759787,Casa,Used,,,,4,570000000,,5,5500104
Centro,0,,Garaje / Parqueadero(s),"Bano Auxiliar, Closet, Cocina Integral, Comedor, Instalacion de gas, Patio, Piso en Baldosa /  Marmol, Zona de lavanderia",Supermercados / C.Comerciales,313.0,3,Mas de 30 anos,Venta,5500006,Medellin,"622-8461 Sala,  comedor,  6 alcobas,  4 closet,  3 banos,  cocina integral,  zona de ropas,  1 nivel,  3 patios,  parqueadero sencillo,  piso en ceramica.",,,29288,SANTAMARIA Y ASOCIADOS,,,1,6.2362494468689,-75.6022644042969,,13,LAURELES CARRERA 80   39- 139,3780182,Casa,Used,,,,6,900000000,,5,5500101
NorOriente,0,,,,,155.0,3,16 a 30 anos,Venta,5500006,Medellin,"VENTA CASA TRES NIVELES EN BOSTON,  $260.000.000, 3 ALCOBAS,  SALON  COMEDOR,  3 CLOSET,  2 COCINAS SENCILLAS,  PATIO,  RED DE GAS,  PISO EN CERAMICA,  BALCON,  3 BANOS,  ESTRATO 3,  155M..",Boston,,416189,Arrendamientos Alnago,,1,,6.24568367004395,-75.5515289306641,Boston,11,KRA 30  54A-17,3702660,Casa,Used,,,,3,260000000,,3,5500103
SurOriente,0,,"Bahias de parqueo, Vigilancia 24x7, Zona Infantil","Balcon, Bano Auxiliar, Closet, Cocina Integral, Comedor, Patio, Ventilacion Natural, Zona de lavanderia",Zona Residencial,432.0,4,1 a 8 anos,Venta,5500006,Medellin,"494-2621 Hermosa casa con un area de lote de 826 m2 y un area construida de 432 m2,  ubicada en san lucas sector muy tranquilo,  cuenta con 4 habitaciones cada una con su respectivo bano y vestier,  mas habitacion y bano de servicio,  sala,  comedor,  cocina integral cerrada,  zona de ropas,  jardin y balcon. Excelente opcion..",,,52687,Livin Inmobiliaria,,,1,6.18482351303101,-75.5601806640625,,13,SAN LUCAS CARRERA 22   16 SUR  AA- 296,3722071,Casa,Used,,,,4,2800000000,,6,5500102
NorOriente,0,,,,,60.0,1,Mas de 30 anos,Venta,5500006,Medellin,"VENTA CASA EN BUENOS AIRES $200.000.000,  3 HABITACIONES,  SALONCOMEDOR,  COCINA SENCILLA,  ZONA DE ROPAS,  PISO EN BALDOSA,  1 BANO,  ESTRATO 3,  60M..",Buenos Aires,,416189,Arrendamientos Alnago,,1,,6.23611402511597,-75.5524749755859,Buenos Aires,10,calle 45  27-19,3704521,Casa,Used,,,,3,200000000,,3,5500103
Centro,0,,Parqueadero Visitantes,"Calentador, Cocina Integral, Cuarto de Servicio, Deposito / Bodega, Estudio, Instalacion de gas, Patio, Piso en Baldosa /  Marmol, Zona de lavanderia","Colegios / Universidades, Parques cercanos, Sobre via principal, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Residencial",284.0,4,16 a 30 anos,Venta,5500006,Medellin,Casa para uso comercial para la venta ubicada en prado centro. Area construida 285 mt y area lote 403..,Prado ,,1216422,Metros Global SAS,,1,1,6.26012516021729,-75.5606689453125,Prado ,30,Carrera 49  63a - 39,4653657,Casa,Used,,,,6,630000000,,4,5500101
,0,,Terraza,"Balcon, Cuarto de Servicio, Patio, Zona de lavanderia",,1.0,0,,Venta,5500006,Medellin,. COD: 23650.,,,424324,Bancasa,,,,0,0,,16,LOMA DE LOS PARRA  ,3900840,Casa,Used,,,,3,1250000000,,6,0
